"","Category","Name","Price","Ratings","Num_of_reviews"
"85","Suitcase","BTGGG Cabin Suitcase 20"" Carry on Suitcase Lightweight Hard Shell Cabin Luggage Case with Spinner Wheels & Combi Lock, 37x22x54cm Small 20"", Black","£58.32","4.1 out of 5 stars","6"
"86","Suitcase","A2B ABS Hard Shell 26 Inch Suitcase - Travel Luggage with 4 Spinner Wheels | Telescopic Drag Handle | Hard Sided Suitcases Weighing 3.4kg Cap 62L Height 66cm (Champagne, Medium)","£57.02","4.4 out of 5 stars","250"
"87","Suitcase","Kono Hard Shell 24 inch Check in Medium Luggage in TSA Lock 4 Wheeled Spinner Polypropylene Suitcase with YKK Zipper (M (65cm - 66L), Black)","£74.99","4.5 out of 5 stars","983"
"88","Suitcase","LUGG 15 Inch Jetset Lightweight Travel Cabin Bag Carry On Approved Suitcase ABS Shell Protection Water Resistant & Safe Locking System Easyjet Free Under seat Luggage (45x36x20cm)","£41.66","4.4 out of 5 stars","609"
"89","Suitcase","Surfanic Maxim 2.0 Wheeled Roller Bag, 100 litres","£37.49","4.5 out of 5 stars","23"
"90","Suitcase","Kono 24 Inch Lightweight Medium Hard Shell Suitcase 66L Travel Carry On Luggage with TSA Lock and 4 Spinner Wheels(Cream)","£24.99","4.6 out of 5 stars","16"
"91","Suitcase","LUGG Travel Suitcase Set - Skywander 3-Piece Hard Shell Luggage, 20"" 24"" 28"" Strong & Lightweight with Secure TSA Lock, Smooth 360° Wheels & Resilient Handle - Airline Approved","£26.99","4.4 out of 5 stars","896"
"92","Suitcase","SHOWKOO Suitcase Large 28-Inch Expandable PC+ABS Hard Shell Travel Luggage Lightweight Durable High Capacity with Double Spinner Wheels TSA Lock, 28"" Army Green","£83.32","4.5 out of 5 stars","19,363"
"93","Suitcase","American Tourister Suitcase, Dark Navy (Blue) - 88752/1265, 78 cm, 120 L","£118.57","4.5 out of 5 stars","1,912"
"94","Suitcase","Kono Lightweight Polypropylene Medium Check in Luggage with 4 Spinner Wheels TSA Lock YKK Zipper Hard Shell Travel Trolley Suitcase (White, 65cm 66L)","£38.32","4.5 out of 5 stars","1,415"
"95","Suitcase","Amazon Basics Underseat Travel Luggage / Suitcase with Telescopic Handle and 2 In-line Skate Wheels - 36 cm, Black Quilted","£68.32","4.7 out of 5 stars","8,634"
"96","Suitcase","COOLIFE Suitcase Trolley Carry On Hand Cabin Luggage Hard Shell Travel Bag Lightweight with TSA Lock and 2 Year Warranty Durable 4 Spinner Wheels (Lemon Yellow, S(56cm 38L))","£86.96","4.6 out of 5 stars","3,321"
"97","Suitcase","Eastpak Tranverz S Suitcase, 51 cm, 42 L","£130.50","4.7 out of 5 stars","4,948"
"98","Suitcase","LEVEL8 Lightweight Carry-on Suitcase,Luggage Suitcase Set, ABS+PC Hardshell Spinner Trolley for Luggage with Double TSA Locks (Black, 36L/68L/104L,3 Pcs Set)","£341.66","4.5 out of 5 stars","5,475"
"99","Suitcase","COOLIFE Hard Shell Suitcase with TSA Lock and 4 Spinner Wheels Lightweight 2 Year Warranty Durable (Turquoise Green, S(56cm 38L))","£62.95","4.6 out of 5 stars","2,415"
"100","Suitcase","COOLIFE Suitcase Trolley Carry On Hand Cabin Luggage Hard Shell Travel Bag Lightweight with TSA Lock and 2 Year Warranty Durable 4 Spinner Wheels (Moon Night Black, S(56cm 38L))","£152.10","4.6 out of 5 stars","3,321"
